CAIXA_ID;DOCUMENTO;DESCRICAO;ENTRADA;DATA;HORA;SAIDA;SITUACAO;SALDO;DT_CANCELADA;OBSERVACAO;BOLETO_ID;PAGAR_ID;USUARIO_ID;USUARIO;INST_ID;CAN_MOTIVO;TIPO_CONTAS_ID;DT_LANCADO;DT_ALTERADO;RETORNO_ID;NUMERO_ARQUIVO;ANO_LETIVO;USR_CAD;RESERVA_ID;TIPO_CONTAS_ID_DEST;ORIGEM_ID;CONT_MAT_ID;Conta_Tipo_Nome;InstNome;EXTRATO;CONTA_ID;OP_PAG_ID;OpcaoPagar;VENDA_LIVRE_ID;LOJA_ID;VENDA_ID;CANCELADO;RECEB_ID;CONTA_ID_DEST;CONTA_NOME;DT_FECHADO;HR_FECHADO;US_FECHADO
125426;00151434;Par.(04/6) 016100/THATIANE FRANCIELLY DE AL - Parcelas;1284;1/2/2014;10:29:07;0;0;1284;;;151434;;7;Anapaula;2;;6;18/4/2014;18/4/2014;;;2014;7;;;;;Mensalidade Pré-Vestibular;COLÉGIO OLIMPO LTDA;;77;11;Antec. de Cheque;;0;;0;;;BRB [GYN] [OPERAÇÕES];;;
117746;24937132/45401;CANTINA OLIMPO - Par. 045401(15-96);0;1/2/2014;14:40:30;1635,79;0;-1635,79;;;;45401;24;Emilly;1;;1395;25/2/2014;25/2/2014;;;2014;24;;;;;Cantina.Despesa diversa;COLÉGIO OLIMPO LTDA;;34;8;Transferência Bancária;;0;;0;;;ITAÚ [CAN] [020594-7] [CC];;;
117179;00139353;Par.(12/12) 010901/JULIA MARTINS CAMELO - Mensalidades;1452;2/2/2014;15:29:50;0;0;1452;;;139353;;8;Vinicius;1;;2;10/2/2014;10/2/2014;;;2013;8;;;;;Mensalidade Ensino Médio;COLÉGIO OLIMPO LTDA;;35;1;Dinheiro;;0;;0;;;[OUTRAS] ESCRITÓRIO COBRANÇA;;;
243161;Remessa Olimpo Fundamental;Remessa Olimpo Fundamental;3153;2/2/2014;18:45:27;0;0;3153;;;;;24;Emilly;1;;1431;25/2/2015;25/2/2015;;;2015;24;;;;;Remessa Olimpo Fundamental;COLÉGIO OLIMPO LTDA;;3;11;Antec. de Cheque;;;;0;;;FACT: GF FOM. MERC.;;;
132912;EXTRATO/51106;Banco Brb - Cód. 051106;0;3/2/2014;08:08:36;37,4;0;-37,4;;;;51106;7;Anapaula;2;;1599;23/5/2014;23/5/2014;;;2014;7;;;;;CA.Encargos;COLÉGIO OLIMPO LTDA;;74;9;Débito em conta;;0;;0;;;BRB [ANA] [011594-4] [CC] [COB];;;
129995;EXTRATO/31249;Mercantil Do Brasil - Cód. 031249;0;3/2/2014;08:10:06;15249,72;0;-15249,72;;;;31249;7;Anapaula;1;;1448;6/5/2014;6/5/2014;;;2014;7;;;;;Juros de cheque especial;COLÉGIO OLIMPO LTDA;;33;9;Débito em conta;;0;;0;;;MERC [EDI] [02.012164-9] [CC];;;
129996;EXTRATO /22866;Mercantil Do Brasil - Cód. 022866;0;3/2/2014;08:10:06;449,67;0;-449,67;;;;22866;7;Anapaula;1;;1448;6/5/2014;6/5/2014;;;2014;7;;;;;Juros de cheque especial;COLÉGIO OLIMPO LTDA;;33;9;Débito em conta;;0;;0;;;MERC [EDI] [02.012164-9] [CC];;;
116993;EVMM/41223;ELVIRA VIEIRA M. MELO - Par. 041223(02-12);0;3/2/2014;08:38:51;1043;0;-1043;;;;41223;7;Anapaula;1;;1450;6/2/2014;6/2/2014;;;2014;7;;;;;CA.Juros Mensal Empréstimo PF;COLÉGIO OLIMPO LTDA;;4;8;Transferência Bancária;;0;;0;;;BB [022382-4] [GYN] [CC];;;
116994;MZCF/13466;MARIA ZILMAR CRUVINEL FERNANDES  - Par. 013466(32/36);0;3/2/2014;08:39:23;1574;0;-1574;;;;13466;24;Emilly;1;;1604;6/2/2014;24/3/2014;;;2014;7;;;;;CA.Empréstimo Resp. Olimpo;COLÉGIO OLIMPO LTDA;;2;8;Transferência Bancária;;0;;0;;;BRADESCO [002429-5] [GYN [CC];;;
116995;MMMB/37481;MARILIA MARIA DE MOURA BARROS - Par. 037481(9/10);0;3/2/2014;08:39:58;10000;0;-10000;;;;37481;7;Anapaula;1;;1450;6/2/2014;6/2/2014;;;2014;7;;;;;CA.Juros Mensal Empréstimo PF;COLÉGIO OLIMPO LTDA;;27;8;Transferência Bancária;;0;;0;;;BRADESCO [008378-0] [SOL] [CC];;;
117379;7743-01/44099;CENTRAL DO BRASIL COM. DE PROD. DE LIMPE - Cód. 044099;0;3/2/2014;08:40:11;1121;0;-1121;;;;44099;24;Emilly;1;;1568;21/2/2014;21/2/2014;;;2014;24;;;;;Aná.Produtos de Limpeza;COLÉGIO OLIMPO LTDA;;56;1;Dinheiro;;0;;0;;;CAIXA TESOURARIA;;;
117001;62467-1/44420;ABRIL COMUNICAÇÕES - Cód. 044420;0;3/2/2014;08:49:30;13425,19;0;-13425,19;;;;44420;7;Anapaula;2;;552;6/2/2014;20/3/2014;;;2014;7;;;;;CA.Marketing (CUSTO);COLÉGIO OLIMPO LTDA;;8;9;Débito em conta;;0;;0;;;ITAÚ [GYN] [026016-5] [];;;
117002;60785-1/44421;ABRIL COMUNICAÇÕES - Cód. 044421;0;3/2/2014;08:49:30;6800,85;0;-6800,85;;;;44421;7;Anapaula;2;;552;6/2/2014;20/3/2014;;;2014;7;;;;;CA.Marketing (CUSTO);COLÉGIO OLIMPO LTDA;;8;9;Débito em conta;;0;;0;;;ITAÚ [GYN] [026016-5] [];;;
117003;048959-E/01/44422;COMERCIO DE TINTAS MELO LTDA - Cód. 044422;0;3/2/2014;08:51:53;98;0;-98;;;;44422;7;Anapaula;1;;1544;6/2/2014;20/3/2014;;;2014;7;;;;;Aná.Reforma;COLÉGIO OLIMPO LTDA;;8;9;Débito em conta;;0;;0;;;ITAÚ [GYN] [026016-5] [];;;
117004;001066-01/44423;GOREMAR MAQUINAS  E EQUIP. - Cód. 044423;0;3/2/2014;08:53:42;300;0;-300;;;;44423;7;Anapaula;2;;1530;6/2/2014;20/3/2014;;;2014;7;;;;;Uber.Reforma;COLÉGIO OLIMPO LTDA;;8;9;Débito em conta;;0;;0;;;ITAÚ [GYN] [026016-5] [];;;
117005;001064-01/44424;GOREMAR MAQUINAS  E EQUIP. - Cód. 044424;0;3/2/2014;08:53:42;150;0;-150;;;;44424;7;Anapaula;2;;1530;6/2/2014;20/3/2014;;;2014;7;;;;;Uber.Reforma;COLÉGIO OLIMPO LTDA;;8;9;Débito em conta;;0;;0;;;ITAÚ [GYN] [026016-5] [];;;
117006;001065-01/44425;GOREMAR MAQUINAS  E EQUIP. - Cód. 044425;0;3/2/2014;08:53:42;150;0;-150;;;;44425;7;Anapaula;2;;1530;6/2/2014;20/3/2014;;;2014;7;;;;;Uber.Reforma;COLÉGIO OLIMPO LTDA;;8;9;Débito em conta;;0;;0;;;ITAÚ [GYN] [026016-5] [];;;
117008;RESCISÃO/44426;RESCISÃO - GRUPO OLIMPO - Cód. 044426;0;3/2/2014;08:55:18;1339;0;-1339;;;;44426;7;Anapaula;1;;310;6/2/2014;6/2/2014;;;2014;7;;;;;Marista.Cancelamento de matrícula;COLÉGIO OLIMPO LTDA;;26;8;Transferência Bancária;;0;;0;;;ITAÚ [SOL] [001691-4] [CC];;;
117013;TRANSFERENCIA/44431;MARCELO DE MORAES MELO - Cód. 044431;0;3/2/2014;09:03:40;150;0;-150;;;;44431;7;Anapaula;1;;1455;6/2/2014;6/2/2014;;;2014;7;;;;;Marcelo.Despesas Particulares;COLÉGIO OLIMPO LTDA;;4;8;Transferência Bancária;;0;;0;;;BB [022382-4] [GYN] [CC];;;
117014;193544/44432;SAALVA - ASSOCIACAO DOS AMIGOS DO RESIDE - Cód. 044432;0;3/2/2014;09:05:50;2598,01;0;-2598,01;;;;44432;7;Anapaula;1;;1455;6/2/2014;29/4/2014;;;2014;7;;;;;Marcelo.Despesas Particulares;COLÉGIO OLIMPO LTDA;;26;8;Transferência Bancária;;0;;0;;;ITAÚ [SOL] [001691-4] [CC];;;
117015;193618/44433;SAALVA - ASSOCIACAO DOS AMIGOS DO RESIDE - Cód. 044433;0;3/2/2014;09:05:50;1419,43;0;-1419,43;;;;44433;7;Anapaula;1;;1071;6/2/2014;29/4/2014;;;2014;7;;;;;Bernadelli.Despesas particulares ;COLÉGIO OLIMPO LTDA;;26;8;Transferência Bancária;;0;;0;;;ITAÚ [SOL] [001691-4] [CC];;;
