CAIXA_ID;DOCUMENTO;DESCRICAO;ENTRADA;DATA;HORA;SAIDA;SITUACAO;SALDO;DT_CANCELADA;OBSERVACAO;BOLETO_ID;PAGAR_ID;USUARIO_ID;USUARIO;INST_ID;CAN_MOTIVO;TIPO_CONTAS_ID;DT_LANCADO;DT_ALTERADO;RETORNO_ID;NUMERO_ARQUIVO;ANO_LETIVO;USR_CAD;RESERVA_ID;TIPO_CONTAS_ID_DEST;ORIGEM_ID;CONT_MAT_ID;Conta_Tipo_Nome;InstNome;EXTRATO;CONTA_ID;OP_PAG_ID;OpcaoPagar;VENDA_LIVRE_ID;LOJA_ID;VENDA_ID;CANCELADO;RECEB_ID;CONTA_ID_DEST;CONTA_NOME;DT_FECHADO;HR_FECHADO;US_FECHADO
130444;CH GF/51547;Especifica Semestral Português  - Cód. 051547;0;1/6/2014;10:23:28;802,56;0;-802,56;;;;51547;25;Marcela;1;;1461;9/5/2014;9/5/2014;;;2014;25;;;;;CA.Pagamento Especificas;COLÉGIO OLIMPO LTDA;;3;9;Débito em conta;;0;;0;;;FACT: GF FOM. MERC.;;;
130448;CH GF/51551;Especifica Anual De Matematica - Cód. 051551;0;1/6/2014;10:31:06;6329,19;0;-6329,19;;;;51551;25;Marcela;1;;1461;9/5/2014;9/5/2014;;;2014;25;;;;;CA.Pagamento Especificas;COLÉGIO OLIMPO LTDA;;3;2;Cheque;;0;;0;;;FACT: GF FOM. MERC.;;;
130454;CH GF/51559;Especifica Anual De Fisica  - Cód. 051559;0;1/6/2014;11:07:59;4843,86;0;-4843,86;;;;51559;25;Marcela;1;;1461;9/5/2014;9/5/2014;;;2014;25;;;;;CA.Pagamento Especificas;COLÉGIO OLIMPO LTDA;;3;2;Cheque;;0;;0;;;FACT: GF FOM. MERC.;;;
130909;CH GF/51726;Especifica Anual De Matematica - Cód. 051726;0;1/6/2014;14:46:57;3690,56;0;-3690,56;;;;51726;25;Marcela;1;;1461;14/5/2014;14/5/2014;;;2014;25;;;;;CA.Pagamento Especificas;COLÉGIO OLIMPO LTDA;;3;2;Cheque;;0;;0;;;FACT: GF FOM. MERC.;;;
130483;CH GF/51568;Especifica Anual De Literatura  - Cód. 051568;0;1/6/2014;14:58:50;3133,29;0;-3133,29;;;;51568;25;Marcela;1;;1461;9/5/2014;9/5/2014;;;2014;25;;;;;CA.Pagamento Especificas;COLÉGIO OLIMPO LTDA;;3;2;Cheque;;0;;0;;;FACT: GF FOM. MERC.;;;
130918;CH GF/51732;Especifica Anual de Português - Cód. 051732;0;1/6/2014;15:04:22;740,62;0;-740,62;;;;51732;25;Marcela;1;;1461;14/5/2014;14/5/2014;;;2014;25;;;;;CA.Pagamento Especificas;COLÉGIO OLIMPO LTDA;;3;2;Cheque;;0;;0;;;FACT: GF FOM. MERC.;;;
130491;CH GF/51576;Especifica Anual De Fisica  - Cód. 051576;0;1/6/2014;15:30:30;5554,08;0;-5554,08;;;;51576;25;Marcela;1;;1461;9/5/2014;9/5/2014;;;2014;25;;;;;CA.Pagamento Especificas;COLÉGIO OLIMPO LTDA;;3;2;Cheque;;0;;0;;;FACT: GF FOM. MERC.;;;
130494;CH GF/51579;Especifica Semestral De Matematica - Cód. 051579;0;1/6/2014;15:35:20;3725,9;0;-3725,9;;;;51579;25;Marcela;1;;1461;9/5/2014;9/5/2014;;;2014;25;;;;;CA.Pagamento Especificas;COLÉGIO OLIMPO LTDA;;3;2;Cheque;;0;;0;;;FACT: GF FOM. MERC.;;;
130498;CH GF/51584;Especifica Semestral De Fisica - Cód. 051584;0;1/6/2014;15:41:29;2355,05;0;-2355,05;;;;51584;25;Marcela;1;;1461;9/5/2014;9/5/2014;;;2014;25;;;;;CA.Pagamento Especificas;COLÉGIO OLIMPO LTDA;;3;2;Cheque;;0;;0;;;FACT: GF FOM. MERC.;;;
130502;CH GF/51590;Especifica Semestral De Redação  - Cód. 051590;0;1/6/2014;15:52:28;8511,28;0;-8511,28;;;;51590;25;Marcela;1;;1461;9/5/2014;9/5/2014;;;2014;25;;;;;CA.Pagamento Especificas;COLÉGIO OLIMPO LTDA;;3;9;Débito em conta;;0;;0;;;FACT: GF FOM. MERC.;;;
