CAIXA_ID;DOCUMENTO;DESCRICAO;ENTRADA;DATA;HORA;SAIDA;SITUACAO;SALDO;DT_CANCELADA;OBSERVACAO;BOLETO_ID;PAGAR_ID;USUARIO_ID;USUARIO;INST_ID;CAN_MOTIVO;TIPO_CONTAS_ID;DT_LANCADO;DT_ALTERADO;RETORNO_ID;NUMERO_ARQUIVO;ANO_LETIVO;USR_CAD;RESERVA_ID;TIPO_CONTAS_ID_DEST;ORIGEM_ID;CONT_MAT_ID;Conta_Tipo_Nome;InstNome;EXTRATO;CONTA_ID;OP_PAG_ID;OpcaoPagar;VENDA_LIVRE_ID;LOJA_ID;VENDA_ID;CANCELADO;RECEB_ID;CONTA_ID_DEST;CONTA_NOME;DT_FECHADO;HR_FECHADO;US_FECHADO
143404;Entrada;Progressão Parcial Integral;447;1/7/2014;08:25:12;0;0;447;;;;;24;Emilly;1;;81;7/7/2014;7/7/2014;;;2014;24;;;;;Mensalidade Progressão;COLÉGIO OLIMPO LTDA;;56;1;Dinheiro;;;;0;;;CAIXA TESOURARIA;;;
143408;Entrada;Progressão Parcial Integral;802;1/7/2014;08:27:55;0;0;802;;Aluno Bruno Alves Catanant.;;;60;Francielly;1;;81;7/7/2014;12/2/2015;;;2014;24;;;;;Mensalidade Progressão;COLÉGIO OLIMPO LTDA;;46;3;Dep. Bancário;;;;0;;;CAIXA CHEQUES;;;
143250;Despesa/59570;Marcelo De Moraes Melo - Cód. 059570;0;1/7/2014;08:40:13;150;0;-150;;;;59570;24;Emilly;1;;1455;4/7/2014;4/7/2014;;;2014;24;;;;;Marcelo.Despesas Particulares;COLÉGIO OLIMPO LTDA;;56;1;Dinheiro;;0;;0;;;CAIXA TESOURARIA;;;
229404;00181452;Par.(01-1) 015651/ISABELLA DE SOUZA ROMÃO - 1ª OU 2ª SÉRI;66;1/7/2014;08:42:34;0;0;66;;;181452;;60;Francielly;1;;1385;29/12/2014;29/12/2014;;;2014;60;;;;;Taxa Prova Substitutiva;COLÉGIO OLIMPO LTDA;;27;2;Cheque;;0;;0;;;BRADESCO [008378-0] [SOL] [CC];;;
229405;00181450;Par.(01-1) 015651/ISABELLA DE SOUZA ROMÃO - 1ª OU 2ª SÉRI;66;1/7/2014;08:42:35;0;0;66;;;181450;;60;Francielly;1;;1385;29/12/2014;29/12/2014;;;2014;60;;;;;Taxa Prova Substitutiva;COLÉGIO OLIMPO LTDA;;27;2;Cheque;;0;;0;;;BRADESCO [008378-0] [SOL] [CC];;;
229406;00181451;Par.(01-1) 015651/ISABELLA DE SOUZA ROMÃO - 1ª OU 2ª SÉRI;66;1/7/2014;08:42:35;0;0;66;;;181451;;60;Francielly;1;;1385;29/12/2014;29/12/2014;;;2014;60;;;;;Taxa Prova Substitutiva;COLÉGIO OLIMPO LTDA;;27;2;Cheque;;0;;0;;;BRADESCO [008378-0] [SOL] [CC];;;
229407;00163370;Par.(06/12) 015710/BRUNNA TEODORO QUEIROZ - Mensalidades;669,5;1/7/2014;08:45:05;0;0;669,5;;;163370;;60;Francielly;1;;2;29/12/2014;29/12/2014;;;2014;60;;;;;Mensalidade Ensino Médio;COLÉGIO OLIMPO LTDA;;27;2;Cheque;;0;;0;;;BRADESCO [008378-0] [SOL] [CC];;;
229408;Cheques Depositados;Remessa Fundamental;5130,91;1/7/2014;08:51:23;0;0;5130,91;;;;;60;Francielly;1;;1431;29/12/2014;29/12/2014;;;2014;60;;;;;Remessa Olimpo Fundamental;COLÉGIO OLIMPO LTDA;;27;2;Cheque;;;;0;;;BRADESCO [008378-0] [SOL] [CC];;;
187679;Extrato/84550;Bic - Banco Industria E Comercio - Cód. 084550;0;1/7/2014;09:25:27;166,84;0;-166,84;;;;84550;24;Emilly;1;;1512;25/9/2014;25/9/2014;;;2014;24;;;;;IOF;COLÉGIO OLIMPO LTDA;;29;9;Débito em conta;;0;;0;;;BICBANCO [14.102672-6] [GYN] [CC];;;
187680;Extrato/84551;Bic - Banco Industria E Comercio - Cód. 084551;0;1/7/2014;09:25:27;169,34;0;-169,34;;;;84551;24;Emilly;1;;1512;25/9/2014;25/9/2014;;;2014;24;;;;;IOF;COLÉGIO OLIMPO LTDA;;29;9;Débito em conta;;0;;0;;;BICBANCO [14.102672-6] [GYN] [CC];;;
