CAIXA_ID;DOCUMENTO;DESCRICAO;ENTRADA;DATA;HORA;SAIDA;SITUACAO;SALDO;DT_CANCELADA;OBSERVACAO;BOLETO_ID;PAGAR_ID;USUARIO_ID;USUARIO;INST_ID;CAN_MOTIVO;TIPO_CONTAS_ID;DT_LANCADO;DT_ALTERADO;RETORNO_ID;NUMERO_ARQUIVO;ANO_LETIVO;USR_CAD;RESERVA_ID;TIPO_CONTAS_ID_DEST;ORIGEM_ID;CONT_MAT_ID;Conta_Tipo_Nome;InstNome;EXTRATO;CONTA_ID;OP_PAG_ID;OpcaoPagar;VENDA_LIVRE_ID;LOJA_ID;VENDA_ID;CANCELADO;RECEB_ID;CONTA_ID_DEST;CONTA_NOME;DT_FECHADO;HR_FECHADO;US_FECHADO
159115;068674/64433;Ferragista Marista - Cód. 064433;0;1/8/2014;08:29:04;26;0;-26;;;;64433;24;Emilly;1;;161;5/8/2014;5/8/2014;;;2014;24;;;;;T-3.Material de Construção;COLÉGIO OLIMPO LTDA;;56;1;Dinheiro;;0;;0;;;CAIXA TESOURARIA;;;
159116;Despesa/64434;Maurício Vieira De Melo - Cód. 064434;0;1/8/2014;08:31:39;150;0;-150;;;;64434;24;Emilly;1;;1495;5/8/2014;5/8/2014;;;2014;24;;;;;CA.Adiantamento de salário;COLÉGIO OLIMPO LTDA;;56;1;Dinheiro;;0;;0;;;CAIXA TESOURARIA;;;
159117;Despesa/64435;Marcelo De Moraes Melo - Cód. 064435;0;1/8/2014;08:32:51;150;0;-150;;;;64435;24;Emilly;1;;1455;5/8/2014;5/8/2014;;;2014;24;;;;;Marcelo.Despesas Particulares;COLÉGIO OLIMPO LTDA;;56;1;Dinheiro;;0;;0;;;CAIXA TESOURARIA;;;
158765;00183514;Par.(06-6) 017266/KEYLA CAROLINE RIBEIRO AL - PAGAMENTO CHE;1284;1/8/2014;08:48:04;0;0;1284;;;183514;;8;Vinicius;2;;1378;4/8/2014;4/8/2014;;;2014;8;;;;;Pagamento de cheque devolvido;COLÉGIO OLIMPO LTDA;;56;1;Dinheiro;;0;;0;;;CAIXA TESOURARIA;;;
158766;00183515;Par.(06-6) 016500/LUMA SANTOS COELHO - PAGAMENTO CHE;1284;1/8/2014;08:50:24;0;0;1284;;;183515;;8;Vinicius;2;;1378;4/8/2014;4/8/2014;;;2014;8;;;;;Pagamento de cheque devolvido;COLÉGIO OLIMPO LTDA;;56;1;Dinheiro;;0;;0;;;CAIXA TESOURARIA;;;
158767;ESPÉCIE 2014-08-01;PAGAMENTO DA MENSALIDADE DE JULHO/2014, DO ALUNO GUILHERME DE FREITAS MARTINS_ESN;290;1/8/2014;08:57:45;0;0;290;;;;;8;Vinicius;1;;1434;4/8/2014;4/8/2014;;;2014;8;;;;;Remessa Educ. Sol Nascente;COLÉGIO OLIMPO LTDA;;56;1;Dinheiro;;;;0;;;CAIXA TESOURARIA;;;
158769;470/1/64304;Mercato Brindes P Ltda-Me - Cód. 064304;0;1/8/2014;09:00:11;75,71;0;-75,71;;;;64304;63;Tiago.oliveira;1;;491;4/8/2014;4/8/2014;;;2014;63;;;;;CA.Eventos e Festa de Confraternização (DESPESA);COLÉGIO OLIMPO LTDA;;26;9;Débito em conta;;0;;0;;;ITAÚ [SOL] [001691-4] [CC];;;
186014;Extrato/82755;Banco Brb - Cód. 082755;0;1/8/2014;09:10:55;14;0;-14;;;;82755;24;Emilly;1;;575;24/9/2014;24/9/2014;;;2014;24;;;;;CA.Tarifas Bancárias;COLÉGIO OLIMPO LTDA;;12;9;Débito em conta;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
186015;Extrato/82757;Banco Brb - Cód. 082757;0;1/8/2014;09:10:55;11,68;0;-11,68;;;;82757;24;Emilly;1;;575;24/9/2014;24/9/2014;;;2014;24;;;;;CA.Tarifas Bancárias;COLÉGIO OLIMPO LTDA;;12;9;Débito em conta;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
186016;Extrato/82758;Banco Brb - Cód. 082758;0;1/8/2014;09:10:55;300;0;-300;;;;82758;24;Emilly;1;;575;24/9/2014;24/9/2014;;;2014;24;;;;;CA.Tarifas Bancárias;COLÉGIO OLIMPO LTDA;;12;9;Débito em conta;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
186034;Ant.Cob/82770;Banco Brb - Par. 082770(01-22);0;1/8/2014;09:13:11;1339;0;-1339;;;;82770;24;Emilly;1;;1578;24/9/2014;24/9/2014;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
186035;Ant.Cob/82780;Banco Brb - Par. 082780(11-22);0;1/8/2014;09:13:11;1417,4;0;-1417,4;;;;82780;24;Emilly;1;;1578;24/9/2014;24/9/2014;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
186036;Ant.Cob/82790;Banco Brb - Par. 082790(21-22);0;1/8/2014;09:13:11;1272,05;0;-1272,05;;;;82790;24;Emilly;1;;1578;24/9/2014;24/9/2014;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
186037;Ant.Cob/82771;Banco Brb - Par. 082771(02-22);0;1/8/2014;09:13:11;1492;0;-1492;;;;82771;24;Emilly;1;;1578;24/9/2014;24/9/2014;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
186032;Ant.Cob/82779;Banco Brb - Par. 082779(10-22);0;1/8/2014;09:13:11;1272,05;0;-1272,05;;;;82779;24;Emilly;1;;1578;24/9/2014;24/9/2014;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
186033;Ant.Cob/82789;Banco Brb - Par. 082789(20-22);0;1/8/2014;09:13:11;1339;0;-1339;;;;82789;24;Emilly;1;;1578;24/9/2014;24/9/2014;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
186038;Ant.Cob/82781;Banco Brb - Par. 082781(12-22);0;1/8/2014;09:13:12;1492;0;-1492;;;;82781;24;Emilly;1;;1578;24/9/2014;24/9/2014;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
186039;Ant.Cob/82791;Banco Brb - Par. 082791(22-22);0;1/8/2014;09:13:12;90,36;0;-90,36;;;;82791;24;Emilly;1;;1578;24/9/2014;24/9/2014;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
186040;Ant.Cob/82772;Banco Brb - Par. 082772(03-22);0;1/8/2014;09:13:12;1339;0;-1339;;;;82772;24;Emilly;1;;1578;24/9/2014;24/9/2014;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
186041;Ant.Cob/82782;Banco Brb - Par. 082782(13-22);0;1/8/2014;09:13:12;1492;0;-1492;;;;82782;24;Emilly;1;;1578;24/9/2014;24/9/2014;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
186042;Ant.Cob/82773;Banco Brb - Par. 082773(04-22);0;1/8/2014;09:13:12;1339;0;-1339;;;;82773;24;Emilly;1;;1578;24/9/2014;24/9/2014;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
186043;Ant.Cob/82783;Banco Brb - Par. 082783(14-22);0;1/8/2014;09:13:12;1492;0;-1492;;;;82783;24;Emilly;1;;1578;24/9/2014;24/9/2014;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
186044;Ant.Cob/82774;Banco Brb - Par. 082774(05-22);0;1/8/2014;09:13:12;1339;0;-1339;;;;82774;24;Emilly;1;;1578;24/9/2014;24/9/2014;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
