CAIXA_ID;DOCUMENTO;DESCRICAO;ENTRADA;DATA;HORA;SAIDA;SITUACAO;SALDO;DT_CANCELADA;OBSERVACAO;BOLETO_ID;PAGAR_ID;USUARIO_ID;USUARIO;INST_ID;CAN_MOTIVO;TIPO_CONTAS_ID;DT_LANCADO;DT_ALTERADO;RETORNO_ID;NUMERO_ARQUIVO;ANO_LETIVO;USR_CAD;RESERVA_ID;TIPO_CONTAS_ID_DEST;ORIGEM_ID;CONT_MAT_ID;Conta_Tipo_Nome;InstNome;EXTRATO;CONTA_ID;OP_PAG_ID;OpcaoPagar;VENDA_LIVRE_ID;LOJA_ID;VENDA_ID;CANCELADO;RECEB_ID;CONTA_ID_DEST;CONTA_NOME;DT_FECHADO;HR_FECHADO;US_FECHADO
197018;Extrato/89950;Banco Brb - Cód. 089950;0;1/10/2014;08:04:33;31,77;0;-31,77;;;;89950;24;Emilly;1;;1512;10/10/2014;10/10/2014;;;2014;24;;;;;IOF;COLÉGIO OLIMPO LTDA;;42;9;Débito em conta;;0;;0;;;BRB [CAN] [012037-0] [CC];;;
197019;Extrato/89951;Banco Brb - Cód. 089951;0;1/10/2014;08:04:33;133,48;0;-133,48;;;;89951;24;Emilly;1;;1512;10/10/2014;10/10/2014;;;2014;24;;;;;IOF;COLÉGIO OLIMPO LTDA;;42;9;Débito em conta;;0;;0;;;BRB [CAN] [012037-0] [CC];;;
197017;Extrato/89949;Banco Brb - Cód. 089949;0;1/10/2014;08:04:33;0,28;0;-0,28;;;;89949;24;Emilly;1;;1512;10/10/2014;10/10/2014;;;2014;24;;;;;IOF;COLÉGIO OLIMPO LTDA;;42;9;Débito em conta;;0;;0;;;BRB [CAN] [012037-0] [CC];;;
197029;Extrato/89956;Banco Brb - Cód. 089956;0;1/10/2014;08:31:49;0,08;0;-0,08;;;;89956;24;Emilly;1;;1512;10/10/2014;10/10/2014;;;2014;24;;;;;IOF;COLÉGIO OLIMPO LTDA;;45;9;Débito em conta;;0;;0;;;BRB [EDI] [012053-2] [CC];;;
197030;Extrato/89957;Banco Brb - Cód. 089957;0;1/10/2014;08:31:49;12,06;0;-12,06;;;;89957;24;Emilly;1;;1512;10/10/2014;10/10/2014;;;2014;24;;;;;IOF;COLÉGIO OLIMPO LTDA;;45;9;Débito em conta;;0;;0;;;BRB [EDI] [012053-2] [CC];;;
197031;Extrato/89958;Banco Brb - Cód. 089958;0;1/10/2014;08:31:49;7,31;0;-7,31;;;;89958;24;Emilly;1;;1512;10/10/2014;10/10/2014;;;2014;24;;;;;IOF;COLÉGIO OLIMPO LTDA;;45;9;Débito em conta;;0;;0;;;BRB [EDI] [012053-2] [CC];;;
197035;Extrato/89962;Banco Brb - Cód. 089962;0;1/10/2014;08:40:56;1284;0;-1284;;;;89962;24;Emilly;1;;569;10/10/2014;10/10/2014;;;2014;24;;;;;CA.Resgate de cheques devolvido (CUSTO);COLÉGIO OLIMPO LTDA;;52;9;Débito em conta;;0;;0;;;BRB [SOL] [012052-4] [CC] [COB];;;
250371;00159255;Par.(09/12) 016425/LARISSA DAVID FERREIRA - Parcelas;230;1/10/2014;08:41:46;0;0;230;;;159255;;7;Anapaula;1;;6;11/3/2015;11/3/2015;;;2014;7;;;;;Mensalidade Pré-Vestibular;COLÉGIO OLIMPO LTDA;;57;11;Antec. de Cheque;;0;;0;;;FACT: SENIZE ;;;
250372;00159017;Par.(09/12) 016434/PEDRO HENRIQUE SOUZA TAVA - Parcelas;1284;1/10/2014;08:42:55;0;0;1284;;;159017;;7;Anapaula;1;;6;11/3/2015;11/3/2015;;;2014;7;;;;;Mensalidade Pré-Vestibular;COLÉGIO OLIMPO LTDA;;57;11;Antec. de Cheque;;0;;0;;;FACT: SENIZE ;;;
197036;Extrato/89963;Banco Brb - Cód. 089963;0;1/10/2014;08:43:36;773,3;0;-773,3;;;;89963;24;Emilly;1;;575;10/10/2014;10/10/2014;;;2014;24;;;;;CA.Tarifas Bancárias;COLÉGIO OLIMPO LTDA;;52;9;Débito em conta;;0;;0;;;BRB [SOL] [012052-4] [CC] [COB];;;
