CAIXA_ID;DOCUMENTO;DESCRICAO;ENTRADA;DATA;HORA;SAIDA;SITUACAO;SALDO;DT_CANCELADA;OBSERVACAO;BOLETO_ID;PAGAR_ID;USUARIO_ID;USUARIO;INST_ID;CAN_MOTIVO;TIPO_CONTAS_ID;DT_LANCADO;DT_ALTERADO;RETORNO_ID;NUMERO_ARQUIVO;ANO_LETIVO;USR_CAD;RESERVA_ID;TIPO_CONTAS_ID_DEST;ORIGEM_ID;CONT_MAT_ID;Conta_Tipo_Nome;InstNome;EXTRATO;CONTA_ID;OP_PAG_ID;OpcaoPagar;VENDA_LIVRE_ID;LOJA_ID;VENDA_ID;CANCELADO;RECEB_ID;CONTA_ID_DEST;CONTA_NOME;DT_FECHADO;HR_FECHADO;US_FECHADO
211496;306173/99824;Régia Comércio De Informática Ltda - Pri - Cód. 099824;0;1/11/2014;10:19:29;823,06;0;-823,06;;;;99824;24;Emilly;1;;383;5/11/2014;5/11/2014;;;2014;24;;;;;Marista.Tecnologia da informação;COLÉGIO OLIMPO LTDA;;56;1;Dinheiro;;0;;0;;;CAIXA TESOURARIA;;;
214921;Recibo/103009;Chaveiro Alecrim II - Cód. 103009;0;1/11/2014;11:35:40;5;0;-5;;;;103009;24;Emilly;1;;1413;10/11/2014;10/11/2014;;;2014;24;;;;;T-27.Chaveiro;COLÉGIO OLIMPO LTDA;;56;1;Dinheiro;;0;;0;;;CAIXA TESOURARIA;;;
214570;00190480;Par.(01/12) 019776/GIOVANNA CARVALHO BENTO - Mensalidades;1473;1/11/2014;17:51:26;0;0;1473;;;190480;;14;Renato;1;;2;7/11/2014;7/11/2014;;;2015;14;;;;;Mensalidade Ensino Médio;COLÉGIO OLIMPO LTDA;;56;1;Dinheiro;;0;;0;;;CAIXA TESOURARIA;;;
243244;00169892;Par.(11/12) 016865/JORGE AUGUSTO MARQUES OLI - Parcelas;1284;3/11/2014;07:34:56;0;0;1284;;;169892;;7;Anapaula;2;;6;26/2/2015;26/2/2015;;;2014;7;;;;;Mensalidade Pré-Vestibular;COLÉGIO OLIMPO LTDA;;3;11;Antec. de Cheque;;0;;0;;;FACT: GF FOM. MERC.;;;
243245;00169540;Par.(11/12) 016900/MATHEUS BARBOSA DE SOUSA  - Parcelas;1284;3/11/2014;07:35:34;0;0;1284;;;169540;;7;Anapaula;2;;6;26/2/2015;26/2/2015;;;2014;7;;;;;Mensalidade Pré-Vestibular;COLÉGIO OLIMPO LTDA;;3;11;Antec. de Cheque;;0;;0;;;FACT: GF FOM. MERC.;;;
243247;00170393;Par.(11/12) 016873/MATHEUS RODRIGUES DO VALE - Parcelas;1306;3/11/2014;07:36:24;0;0;1306;;;170393;;7;Anapaula;2;;93;26/2/2015;26/2/2015;;;2014;7;;;;;Mensalidade Turma ITA;COLÉGIO OLIMPO LTDA;;3;11;Antec. de Cheque;;0;;0;;;FACT: GF FOM. MERC.;;;
243248;00174937;Par.(19-22) 016884/SÓLON EMANUEL DE SIQUEIRA - Renegociado;653;3/11/2014;07:37:23;0;0;653;;;174937;;7;Anapaula;2;;2;26/2/2015;26/2/2015;;;2014;7;;;;;Mensalidade Ensino Médio;COLÉGIO OLIMPO LTDA;;3;11;Antec. de Cheque;;0;;0;;;FACT: GF FOM. MERC.;;;
243251;00169552;Par.(11/12) 016889/RAQUEL MARIA FERREIRA DE  - Parcelas;1284;3/11/2014;07:37:58;0;0;1284;;;169552;;7;Anapaula;2;;6;26/2/2015;26/2/2015;;;2014;7;;;;;Mensalidade Pré-Vestibular;COLÉGIO OLIMPO LTDA;;3;11;Antec. de Cheque;;0;;0;;;FACT: GF FOM. MERC.;;;
243252;00169564;Par.(11/12) 016878/ISABELLA RODRIGUES SILVA - Parcelas;642;3/11/2014;07:38:35;0;0;642;;;169564;;7;Anapaula;2;;6;26/2/2015;26/2/2015;;;2014;7;;;;;Mensalidade Pré-Vestibular;COLÉGIO OLIMPO LTDA;;3;11;Antec. de Cheque;;0;;0;;;FACT: GF FOM. MERC.;;;
243253;00169576;Par.(11/12) 016877/GABRIEL LINHARES MAIA - Parcelas;1284;3/11/2014;07:39:23;0;0;1284;;;169576;;7;Anapaula;2;;6;26/2/2015;26/2/2015;;;2014;7;;;;;Mensalidade Pré-Vestibular;COLÉGIO OLIMPO LTDA;;3;11;Antec. de Cheque;;0;;0;;;FACT: GF FOM. MERC.;;;
