CAIXA_ID;DOCUMENTO;DESCRICAO;ENTRADA;DATA;HORA;SAIDA;SITUACAO;SALDO;DT_CANCELADA;OBSERVACAO;BOLETO_ID;PAGAR_ID;USUARIO_ID;USUARIO;INST_ID;CAN_MOTIVO;TIPO_CONTAS_ID;DT_LANCADO;DT_ALTERADO;RETORNO_ID;NUMERO_ARQUIVO;ANO_LETIVO;USR_CAD;RESERVA_ID;TIPO_CONTAS_ID_DEST;ORIGEM_ID;CONT_MAT_ID;Conta_Tipo_Nome;InstNome;EXTRATO;CONTA_ID;OP_PAG_ID;OpcaoPagar;VENDA_LIVRE_ID;LOJA_ID;VENDA_ID;CANCELADO;RECEB_ID;CONTA_ID_DEST;CONTA_NOME;DT_FECHADO;HR_FECHADO;US_FECHADO
237510;Extrato/112547;Banco Brb - Par. 112547(01-3);0;1/12/2014;06:37:11;35,62;0;-35,62;;;;112547;24;Emilly;1;;1512;11/2/2015;11/2/2015;;;2014;24;;;;;IOF;COLÉGIO OLIMPO LTDA;;12;9;Débito em conta;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
237511;Extrato/112548;Banco Brb - Par. 112548(02-3);0;1/12/2014;06:37:11;92,75;0;-92,75;;;;112548;24;Emilly;1;;1512;11/2/2015;11/2/2015;;;2014;24;;;;;IOF;COLÉGIO OLIMPO LTDA;;12;9;Débito em conta;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
237512;Extrato/112549;Banco Brb - Par. 112549(03-3);0;1/12/2014;06:37:11;2019,11;0;-2019,11;;;;112549;24;Emilly;1;;1512;11/2/2015;11/2/2015;;;2014;24;;;;;IOF;COLÉGIO OLIMPO LTDA;;12;9;Débito em conta;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
237513;Extrato/112550;Banco Brb - Cód. 112550;0;1/12/2014;06:38:08;9345,15;0;-9345,15;;;;112550;24;Emilly;1;;1599;11/2/2015;11/2/2015;;;2014;24;;;;;CA.Encargos;COLÉGIO OLIMPO LTDA;;12;9;Débito em conta;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
237525;Juros20141201/112555;Banco Brb - Cód. 112555;0;1/12/2014;06:47:54;17941,64;0;-17941,64;;;;112555;24;Emilly;1;;1459;11/2/2015;11/2/2015;;;2014;24;;;;;Juros e Despesas Descontos Chs e Boletos;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
237526;DB20141201;Operação Desconto Boletos 2014-12-01;215352,25;1/12/2014;06:47:59;0;0;215352,25;;;;;24;Emilly;1;;1505;11/2/2015;11/2/2015;;;2015;24;;;;;Desconto de boleto;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
237534;Ant.Cob/112609;Banco Brb - Par. 112609(20-30);0;1/12/2014;06:54:19;1339;0;-1339;;;;112609;24;Emilly;1;;1578;11/2/2015;11/2/2015;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
237535;Ant.Cob/112619;Banco Brb - Par. 112619(30-30);0;1/12/2014;06:54:19;1339;0;-1339;;;;112619;24;Emilly;1;;1578;11/2/2015;11/2/2015;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
237533;Ant.Cob/112599;Banco Brb - Par. 112599(10-30);0;1/12/2014;06:54:19;1339;0;-1339;;;;112599;24;Emilly;1;;1578;11/2/2015;11/2/2015;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
237537;Ant.Cob/112600;Banco Brb - Par. 112600(11-30);0;1/12/2014;06:54:20;1339;0;-1339;;;;112600;24;Emilly;1;;1578;11/2/2015;11/2/2015;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
237538;Ant.Cob/112610;Banco Brb - Par. 112610(21-30);0;1/12/2014;06:54:20;1339;0;-1339;;;;112610;24;Emilly;1;;1578;11/2/2015;11/2/2015;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
237536;Ant.Cob/112590;Banco Brb - Par. 112590(01-30);0;1/12/2014;06:54:20;1339;0;-1339;;;;112590;24;Emilly;1;;1578;11/2/2015;11/2/2015;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
237540;Ant.Cob/112601;Banco Brb - Par. 112601(12-30);0;1/12/2014;06:54:20;1339;0;-1339;;;;112601;24;Emilly;1;;1578;11/2/2015;11/2/2015;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
237541;Ant.Cob/112611;Banco Brb - Par. 112611(22-30);0;1/12/2014;06:54:20;1339;0;-1339;;;;112611;24;Emilly;1;;1578;11/2/2015;11/2/2015;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
237539;Ant.Cob/112591;Banco Brb - Par. 112591(02-30);0;1/12/2014;06:54:20;1339;0;-1339;;;;112591;24;Emilly;1;;1578;11/2/2015;11/2/2015;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
237543;Ant.Cob/112602;Banco Brb - Par. 112602(13-30);0;1/12/2014;06:54:20;1339;0;-1339;;;;112602;24;Emilly;1;;1578;11/2/2015;11/2/2015;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
237544;Ant.Cob/112612;Banco Brb - Par. 112612(23-30);0;1/12/2014;06:54:20;1339;0;-1339;;;;112612;24;Emilly;1;;1578;11/2/2015;11/2/2015;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
237542;Ant.Cob/112592;Banco Brb - Par. 112592(03-30);0;1/12/2014;06:54:20;1339;0;-1339;;;;112592;24;Emilly;1;;1578;11/2/2015;11/2/2015;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
237546;Ant.Cob/112603;Banco Brb - Par. 112603(14-30);0;1/12/2014;06:54:20;1339;0;-1339;;;;112603;24;Emilly;1;;1578;11/2/2015;11/2/2015;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
237547;Ant.Cob/112613;Banco Brb - Par. 112613(24-30);0;1/12/2014;06:54:20;1339;0;-1339;;;;112613;24;Emilly;1;;1578;11/2/2015;11/2/2015;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
237545;Ant.Cob/112593;Banco Brb - Par. 112593(04-30);0;1/12/2014;06:54:20;1339;0;-1339;;;;112593;24;Emilly;1;;1578;11/2/2015;11/2/2015;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
237549;Ant.Cob/112604;Banco Brb - Par. 112604(15-30);0;1/12/2014;06:54:20;1339;0;-1339;;;;112604;24;Emilly;1;;1578;11/2/2015;11/2/2015;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
237548;Ant.Cob/112594;Banco Brb - Par. 112594(05-30);0;1/12/2014;06:54:20;1339;0;-1339;;;;112594;24;Emilly;1;;1578;11/2/2015;11/2/2015;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
237553;Ant.Cob/112615;Banco Brb - Par. 112615(26-30);0;1/12/2014;06:54:21;1339;0;-1339;;;;112615;24;Emilly;1;;1578;11/2/2015;11/2/2015;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
237555;Ant.Cob/112606;Banco Brb - Par. 112606(17-30);0;1/12/2014;06:54:21;1339;0;-1339;;;;112606;24;Emilly;1;;1578;11/2/2015;11/2/2015;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
237556;Ant.Cob/112616;Banco Brb - Par. 112616(27-30);0;1/12/2014;06:54:21;1339;0;-1339;;;;112616;24;Emilly;1;;1578;11/2/2015;11/2/2015;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
237554;Ant.Cob/112596;Banco Brb - Par. 112596(07-30);0;1/12/2014;06:54:21;1339;0;-1339;;;;112596;24;Emilly;1;;1578;11/2/2015;11/2/2015;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
237558;Ant.Cob/112607;Banco Brb - Par. 112607(18-30);0;1/12/2014;06:54:21;1339;0;-1339;;;;112607;24;Emilly;1;;1578;11/2/2015;11/2/2015;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
237559;Ant.Cob/112617;Banco Brb - Par. 112617(28-30);0;1/12/2014;06:54:21;1339;0;-1339;;;;112617;24;Emilly;1;;1578;11/2/2015;11/2/2015;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
237557;Ant.Cob/112597;Banco Brb - Par. 112597(08-30);0;1/12/2014;06:54:21;1339;0;-1339;;;;112597;24;Emilly;1;;1578;11/2/2015;11/2/2015;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
237561;Ant.Cob/112608;Banco Brb - Par. 112608(19-30);0;1/12/2014;06:54:21;1339;0;-1339;;;;112608;24;Emilly;1;;1578;11/2/2015;11/2/2015;;;2014;24;;;;;Marista.Déb.antecipação de Cobrança;COLÉGIO OLIMPO LTDA;;12;10;Antec. de Boleto;;0;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
