CAIXA_ID;DOCUMENTO;DESCRICAO;ENTRADA;DATA;HORA;SAIDA;SITUACAO;SALDO;DT_CANCELADA;OBSERVACAO;BOLETO_ID;PAGAR_ID;USUARIO_ID;USUARIO;INST_ID;CAN_MOTIVO;TIPO_CONTAS_ID;DT_LANCADO;DT_ALTERADO;RETORNO_ID;NUMERO_ARQUIVO;ANO_LETIVO;USR_CAD;RESERVA_ID;TIPO_CONTAS_ID_DEST;ORIGEM_ID;CONT_MAT_ID;Conta_Tipo_Nome;InstNome;EXTRATO;CONTA_ID;OP_PAG_ID;OpcaoPagar;VENDA_LIVRE_ID;LOJA_ID;VENDA_ID;CANCELADO;RECEB_ID;CONTA_ID_DEST;CONTA_NOME;DT_FECHADO;HR_FECHADO;US_FECHADO
276244;Transferencia Entre Contas;Transferencia Entre Contas;0;1/4/2015;08:17:54;10344;0;-10344;;;;;7;Anapaula;1;;1449;6/7/2015;6/7/2015;;;2015;7;;;;;Transferência entre contas;COLÉGIO OLIMPO LTDA;;114;8;Transferência Bancária;;;;0;;;SAFRA [GYN] [206009-7] [COB];;;
259502;Extrato/119019;Banco Santander  - Cód. 119019;0;1/4/2015;09:13:18;8,5;0;-8,5;;;;119019;24;Emilly;1;;1513;9/4/2015;9/4/2015;;;2015;24;;;;;Tarifas de DOC / TED;COLÉGIO OLIMPO LTDA;;7;9;Débito em conta;;0;;0;;;SANT 936-9 GOIANIA;;;
259505;Extrato/119020;Banco Santander  - Cód. 119020;0;1/4/2015;09:14:40;116,77;0;-116,77;;;;119020;24;Emilly;1;;1512;9/4/2015;9/4/2015;;;2015;24;;;;;IOF;COLÉGIO OLIMPO LTDA;;7;9;Débito em conta;;0;;0;;;SANT 936-9 GOIANIA;;;
259507;Extrato/119021;Banco Santander  - Cód. 119021;0;1/4/2015;09:15:16;567,15;0;-567,15;;;;119021;24;Emilly;1;;1512;9/4/2015;9/4/2015;;;2015;24;;;;;IOF;COLÉGIO OLIMPO LTDA;;7;9;Débito em conta;;0;;0;;;SANT 936-9 GOIANIA;;;
259514;Extrato/119022;Mercantil Do Brasil - Cód. 119022;0;1/4/2015;09:22:46;4254,54;0;-4254,54;;;;119022;24;Emilly;1;;1448;9/4/2015;9/4/2015;;;2015;24;;;;;Juros de cheque especial;COLÉGIO OLIMPO LTDA;;5;9;Débito em conta;;0;;0;;;MERC [GYN] [02.011938-7] [CC];;;
259515;Extrato/119023;Mercantil Do Brasil - Cód. 119023;0;1/4/2015;09:23:18;289,56;0;-289,56;;;;119023;24;Emilly;1;;1512;9/4/2015;9/4/2015;;;2015;24;;;;;IOF;COLÉGIO OLIMPO LTDA;;5;9;Débito em conta;;0;;0;;;MERC [GYN] [02.011938-7] [CC];;;
261078;00214508;Par.(02-6) 020479/MARIA ALINE PEIXOTO - PAGAMENTO CHE;1386;1/4/2015;09:23:27;0;0;1386;;;214508;;8;Vinicius;2;;1378;15/4/2015;15/4/2015;;;2015;8;;;;;Pagamento de cheque devolvido;COLÉGIO OLIMPO LTDA;;4;3;Dep. Bancário;;0;;0;;;BB [022382-4] [GYN] [CC];;;
259517;Extrato/119024;Mercantil Do Brasil - Cód. 119024;0;1/4/2015;09:24:09;139;0;-139;;;;119024;24;Emilly;1;;575;9/4/2015;9/4/2015;;;2015;24;;;;;CA.Tarifas Bancárias;COLÉGIO OLIMPO LTDA;;5;9;Débito em conta;;0;;0;;;MERC [GYN] [02.011938-7] [CC];;;
259523;Extrato/119025;Mercantil Do Brasil - Cód. 119025;0;1/4/2015;09:27:17;15;0;-15;;;;119025;24;Emilly;1;;575;9/4/2015;9/4/2015;;;2015;24;;;;;CA.Tarifas Bancárias;COLÉGIO OLIMPO LTDA;;5;9;Débito em conta;;0;;0;;;MERC [GYN] [02.011938-7] [CC];;;
259259;Remessa Olimpo Anápolis;Remessa Olimpo Anápolis;1072,37;1/4/2015;09:31:05;0;0;1072,37;;;;;60;Francielly;1;;1526;8/4/2015;8/4/2015;;;2015;60;;;;;Remessa Olimpo Anápolis;COLÉGIO OLIMPO LTDA;;12;4;Boleto;;;;0;;;BRB [GYN] [011616-0] [CC] [COB];;;
259538;Extrato/119028;Mercantil Do Brasil - Cód. 119028;0;1/4/2015;09:37:45;37441,09;0;-37441,09;;;;119028;24;Emilly;1;;1448;9/4/2015;9/4/2015;;;2015;24;;;;;Juros de cheque especial;COLÉGIO OLIMPO LTDA;;33;9;Débito em conta;;0;;0;;;MERC [EDI] [02.012164-9] [CC];;;
259540;Extrato/119029;Mercantil Do Brasil - Cód. 119029;0;1/4/2015;09:38:27;1849,75;0;-1849,75;;;;119029;24;Emilly;1;;1448;9/4/2015;9/4/2015;;;2015;24;;;;;Juros de cheque especial;COLÉGIO OLIMPO LTDA;;33;9;Débito em conta;;0;;0;;;MERC [EDI] [02.012164-9] [CC];;;
260270;Extrato;Aplic Auto Mais;0,04;1/4/2015;09:46:47;0;0;0,04;;;;;24;Emilly;1;;95;13/4/2015;13/4/2015;;;2015;24;;;;;Recebimento Diversos;COLÉGIO OLIMPO LTDA;;8;8;Transferência Bancária;;;;0;;;ITAÚ [GYN] [026016-5] [];;;
259544;Extrato/119030;Banco Itaú Unibanco S.A. - Cód. 119030;0;1/4/2015;09:49:45;20,93;0;-20,93;;;;119030;24;Emilly;1;;1599;9/4/2015;9/4/2015;;;2015;24;;;;;CA.Encargos;COLÉGIO OLIMPO LTDA;;26;9;Débito em conta;;0;;0;;;ITAÚ [SOL] [001691-4] [CC];;;
259546;Extrato/119031;Banco Itaú Unibanco S.A. - Cód. 119031;0;1/4/2015;09:50:29;42;0;-42;;;;119031;24;Emilly;1;;575;9/4/2015;9/4/2015;;;2015;24;;;;;CA.Tarifas Bancárias;COLÉGIO OLIMPO LTDA;;26;9;Débito em conta;;0;;0;;;ITAÚ [SOL] [001691-4] [CC];;;
262270;DEPÓSITO 2015-04-01;PAGAMENTO DA MENSALIDADE DE MARÇO/2015, DO(A) ALUNO(A) GABRIELA AIMEE GUIMARÃES_ITA;800;1/4/2015;09:50:45;0;0;800;;;;;8;Vinicius;1;;1431;17/4/2015;17/4/2015;;;2015;8;;;;;Remessa Olimpo Fundamental;COLÉGIO OLIMPO LTDA;;4;3;Dep. Bancário;;;;0;;;BB [022382-4] [GYN] [CC];;;
260271;Extrato/119423;Banco Itaú Unibanco S.A. - Cód. 119423;0;1/4/2015;09:52:00;42,08;0;-42,08;;;;119423;24;Emilly;1;;1513;13/4/2015;13/4/2015;;;2015;24;;;;;Tarifas de DOC / TED;COLÉGIO OLIMPO LTDA;;8;9;Débito em conta;;0;;0;;;ITAÚ [GYN] [026016-5] [];;;
260272;Extrato/119424;Banco Itaú Unibanco S.A. - Cód. 119424;0;1/4/2015;09:52:00;36,82;0;-36,82;;;;119424;24;Emilly;1;;1513;13/4/2015;13/4/2015;;;2015;24;;;;;Tarifas de DOC / TED;COLÉGIO OLIMPO LTDA;;8;9;Débito em conta;;0;;0;;;ITAÚ [GYN] [026016-5] [];;;
267204;16103/122104;Gf - Fomento Mercantil  - Par. 122104(63-78);0;1/4/2015;09:54:31;3,98;0;-3,98;;;;122104;7;Anapaula;2;;1512;5/5/2015;5/5/2015;;;2015;7;;;;;IOF;COLÉGIO OLIMPO LTDA;;3;9;Débito em conta;;0;;0;;;FACT: GF FOM. MERC.;;;
267205;16102/122115;Gf - Fomento Mercantil  - Par. 122115(74-78);0;1/4/2015;09:54:33;8,24;0;-8,24;;;;122115;7;Anapaula;2;;1512;5/5/2015;5/5/2015;;;2015;7;;;;;IOF;COLÉGIO OLIMPO LTDA;;3;9;Débito em conta;;0;;0;;;FACT: GF FOM. MERC.;;;
